nazev;adresa;oznaceni
Školní 101;Školní 101, 541 01 Trutnov;Teoretické
Horská 618;Horská 618, 541 01 Trutnov;Teoretické
Horská 59;Horská 59, 541 01 Trutnov;Teoretické
Mladé Buky;Mladé Buky 374, 542 23 Mladé Buky;Praktické
