nazev;adresa;odkazNaMenu;popis;oteviraciDoba;typ
KEBAB HOUSE;-----;-------;chuťovka co neomrzí,Lze platit kartou,Rozvoz předražený - Gastro Taxi,plusové body za červené zelí ,nejblíže klubu May Disco;Po - Čt 9 - 24h, Pa - So 10 - 3h, Ne 10 - 24h;kebab
GALATA KEBAB;-----;------;Novinka v Trutnově,lze platit kartou, Červené zelí a mix vepřového a hovězího zaručeno,Nejblíže naší škole;Ne - Čt 9 - 24h, Pa - So 9 - 5h;kebab
